,item name,category
144,cc actimel pk,drinks
145,fruit gum,snacks
146,soft drink,drinks
147,chocol,snacks
148,chicken swich,eating out
149,bunt metr,homeware
150,crisp,snacks
151,chocol,snacks
152,chocol,snacks
153,meal deal,eating out
154,cc chocol,snacks
155,cc chocol,snacks
156,egg,groceries
157,gateau bar,snacks
158,kitkat chunki,snacks
159,kipl,snacks
160,chocol,snacks
161,frang egg,groceries
162,parsley,groceries
163,fresh milk,groceries
164,spicesherb,groceries
165,croissant,groceries
166,sausag slice,groceries
167,chicken,groceries
168,butternut soup,groceries
169,chocol cake,snacks
170,cake,snacks
171,burger bun,groceries
172,smoke streaki,groceries
173,bacon rasher,groceries
174,choc eclair,snacks
175,pain au raisin,groceries
176,white med,groceries
177,black pud,groceries
178,haddock,groceries
179,platter,groceries
180,mozzarella,groceries
181,conti meat,groceries
182,minc beef,groceries
183,wholem,groceries
184,gem lettuc,groceries
185,onion,groceries
186,creme caramel,snacks
187,yakult drink,drinks
188,ginger nut,snacks
189,cereal,groceries
190,salad tomato,groceries
191,kabano,groceries
192,aubergin,groceries
193,ginger nut,snacks
194,potato,groceries
195,chee slice,groceries
196,peanut butter,groceries
197,berlinki,groceries
198,berlinki,groceries
199,pork slice,groceries
200,bbq sauc,groceries
201,fresh milk,groceries
202,cc butternut soup,groceries
203,cc berlinki,groceries
204,cc berlinki,groceries
205,cc slice,groceries
206,cc cake,snacks
207,cc chocol cake,snacks
208,cc haddock,groceries
209,cc deli share u,groceries
210,corn cob loo,groceries
211,marvel tomato,groceries
212,rainbow tomato,groceries
213,extra larg onion,groceries
214,asparagu tip,groceries
215,soft medium white,groceries
216,delux blueberri,groceries
217,mini cucumb,groceries
218,garlic,groceries
219,kellogg crunchi nut chocol cluster g,groceries
220,fairi origin wash liquid ml,cleaning
221,feast chocol ice cream x ml,snacks
222,tesco raw king prawn g,groceries
223,tesco british chicken thigh fillet,groceries
224,tesco pork lean minc fat g,groceries
225,tesco salad tomato pack,groceries
226,ben jerri bake alaska vanilla ice cream ml,snacks
227,tesco corn cob twinpack,groceries
228,tesco spirali pasta g,groceries
229,tesco rocket chilli g,groceries
230,cc ice cream,snacks
231,mschestnut malham ns coin wallet glaze calf colour chestnut,clothes
232,wr bchicken wing,groceries
233,wr ess thigh fillet,groceries
234,wr ess beef burger,groceries
235,wr beef fri steak,groceries
236,wr sea bream fillet,groceries
237,wr salmn tail fillt,groceries
238,v ckitten eton mess,snacks
239,wr chick jamb soup,groceries
240,tangerin,groceries
241,v twix twin bar,snacks
242,wr ess hot cross bun,groceries
243,gress spatchcock,groceries
244,wr blueb,groceries
245,cc belgn bttr wffle,groceries
246,mpfe,groceries
247,tesco grlcg,groceries
248,yogurt,groceries
249,tesco grlcg,groceries
250,chicken drum,groceries
251,frang egg,groceries
252,mullcdrspic,groceries
253,dri yeast,groceries
254,potato,groceries
255,pork slice,groceries
256,cafe latt,drinks
257,cafe latt,drinks
258,cafe latt,drinks
259,cafe latt,drinks
260,w g dan wht,groceries
261,bread,groceries
262,lamb chop,groceries
263,lamb chop,groceries
264,cc lamb chop,groceries
265,cc lamb chop,groceries
266,ferrero,snacks
267,drkwhte choc g,groceries
268,drkwhte choc g,groceries
269,drkwhte choc g,groceries
270,maoam mixx,snacks
271,salt tabl g,groceries
272,lemon unwax,groceries
273,tuna brine g,groceries
274,tuna brine g,groceries
275,tuna brine g,groceries
276,tuna brine g,groceries
277,maoam mixx,snacks
278,turkish delight,snacks
279,potato mini roast,groceries
280,potato mini roast,groceries
281,rosemari cut,groceries
282,thyme cut,groceries
283,stacker scbbq,snacks
284,peanut salt,snacks
285,xma puff ball,snacks
286,snack mix tray,snacks
287,snack mix tray,snacks
288,wine red spanish,alcohol
289,honey jar g,groceries
290,wine red spanish,alcohol
291,satsuma king,groceries
292,sea salt,homeware
293,sweet shop favourit,snacks
294,premium orang,groceries
295,men hydra ener scrub,hygiene
296,bake soda g,groceries
297,banana pack,groceries
298,kinder joy,snacks
299,british unsal butter,groceries
300,frost flake,groceries
301,goo,groceries
302,latt regular,drinks
303,slice bloom,groceries
304,brown sugar,groceries
305,honey,groceries
306,jalfrezi sauc,groceries
307,ice cream,snacks
308,yogurt,groceries
309,chocol,snacks
310,mini egg bar,snacks
311,fruit juic,drinks
312,clementin,groceries
313,ripe banana,groceries
314,frang egg,groceries
315,bread,groceries
316,egg,groceries
317,ginger cake,snacks
318,cheddar,groceries
319,fruit juic,drinks
320,red leicest,groceries
321,smoke salmon,groceries
322,condit,hygiene
323,red pepper,groceries
324,black pud,groceries
325,unsalt butter,groceries
326,golden syrup,groceries
327,coff bean,groceries
328,ripe avo pk,groceries
329,pork sausag,groceries
330,sugar,groceries
331,chicken thigh,groceries
332,ice cream,snacks
333,cup,homeware
334,biscuit,snack
335,unsalt butter,groceries
336,gum,snacks
337,lych drink,drinks
338,lych drink,drinks
339,frsh dbl crm,groceries
340,cc fruit juic,drinks
341,cc golden syrup,groceries
342,cc ice cream,snacks
343,cc ice cream,snacks
344,cc lych drink,drinks
345,cc lych drink,drinks
346,cc jalfrezi sauc,snacks
347,soni wfc g rn,electrical
348,caddi liner,cleaning
349,berlinki,groceries
350,frsh whpg crm,groceries
351,fresh milk,groceries
352,cartridg,other
353,steel garlic,homeware
354,smoke streaki,groceries
355,cereal,groceries
356,cereal,groceries
357,cc cartridg,other
358,cc berlinki,groceries
359,que box,eating out
360,guacamol sgl shot,eating out
361,custard cream biscu,snacks
362,muffin triplechoc,snacks
363,fr larg egg,groceries
364,garlic,groceries
365,medallion steak g,groceries
366,tomato,groceries
367,onion,groceries
368,white toasti,groceries
369,green tee honey,drinks
370,arizona ice tea,drinks
371,green tee pomegrana,drinks
372,tomato passata,groceries
373,green tee peach,drinks
374,spring onion,groceries
375,beef brisket joint,groceries
376,pak choi pk,groceries
377,echalion shallot,groceries
378,loo bake potat,groceries
379,white toasti discount,groceries
380,meistershack,eating out
381,bite,eating out
382,choc queen sng,eating out
383,sausag roll,eating out
384,chicken bake,eating out
385,handl paper bag,homeware
386,beef brisket joint,groceries
387,medium avocado,groceries
388,green tea plum,drinks
389,green tea honey,drinks
390,green tea pomegranat,drinks
391,green tea blueberri,drinks
392,green peach,drinks
393,wash babi spinach,groceries
394,sweet mix pepper,groceries
395,garlic,groceries
396,mento chupa babol,snacks
397,frijj cooki dough,drinks
398,marblebriochevanilla,groceries
399,tenderstem broccoli,groceries
400,chicken thigh fillet,groceries
401,alexandra potato,groceries
402,valentina tomato,groceries
403,organ vine tomato,groceries
404,cucumb,groceries
405,danon actimel straw,drinks
406,bell ibuprofen,health & pharmacy
407,lamb loin chop,groceries
408,frylight coconut oil,groceries
409,peperami jerki,snacks
410,smoke salmon,groceries
411,organ carrot,groceries
412,fresh corn,groceries
413,paracetamol caplet,health & pharmacy
414,pomegran,groceries
415,mango,groceries
416,msc wild salmon,groceries
417,mapl pecanplait,groceries
418,ckn drumstick,groceries
419,ice cream,snacks
420,ice cream,snacks
421,towel,hygiene
422,towel,hygiene
423,tortilla chip,snacks
424,yoghut,snacks
425,frang egg,groceries
426,brioch roll,groceries
427,potato,groceries
428,nutella,groceries
429,red pepper,groceries
430,nut,snacks
431,tzipseal bag,homeware
432,cafe latt,drinks
433,caff latt,drinks
434,cook sauc,groceries
435,ice cream,snacks
436,avocado,groceries
437,waffl,snacks
438,spinach,groceries
439,refu sack,cleaning
440,chicken thigh,groceries
441,chocol,snacks
442,cereal,groceries
443,towel,hygiene
444,littl gem twin,groceries
445,towel,hygiene
446,spring onion,groceries
447,twin sweetcorn,groceries
448,cafe latt,drinks
449,kitchen towel,cleaning
450,cc nutella,groceries
451,cc tortilla chip,snacks
452,cc nute,snacks
453,cc kitchen towel,cleaning
454,cc ice cream,snacks
455,cc ice cream,snacks
456,cc ice cream,snacks
457,cc pitch,groceries
458,cc chicken sauc,groceries
459,cc potato,groceries
460,nicc expo jkt sn,clothes
461,smoke salmon salad,eating out
462,cream tea,eating out
463,option gratuiti,eating out
464,smok rpm coil,nicotine
465,nasti juic ns cushman,nicotine
466,coil multi buy,nicotine
467,budwei,alcohol
468,medium loaf white,groceries
469,grapefruit loo,groceries
470,chocol chip cooki,snacks
471,macker sunflow,groceries
472,lemon cake,snacks
473,veget oil,groceries
474,tuna brine,groceries
475,frijj cooki dough,drinks
476,smoke bacon,groceries
477,dc na app b curran,drinks
478,bbq sauc,groceries
479,clear honey,groceries
480,columbian coff,drinks
481,british pork sausag,groceries
482,chi breastfil g,groceries
483,wr easi peeler,groceries
484,wr easi peeler,groceries
485,wr bchicken wing,groceries
486,wr salmn tail fillt,groceries
487,wr msc keta salmon,groceries
488,wr aa rump steak,groceries
489,wakam salad,eating out
490,new regular latt,drinks
491,fruit,groceries
492,mpf,groceries
493,sweet,snacks
494,gummi sweet,snacks
495,mini egg,snacks
496,pork sausag,groceries
497,cereal,groceries
498,hbubba tape,snacks
